PERSON_ID,FULL_NAME,DRAFT_YEAR
1631127,Harrison Ingram,2024.0
202681,Kyrie Irving,2011.0
1628371,Jonathan Isaac,2017.0
1631093,Jaden Ivey,2022.0
1641713,GG Jackson,2023.0
1630543,Isaiah Jackson,2021.0
1631245,Quenton Jackson,
202704,Reggie Jackson,2011.0
1641748,Andre Jackson Jr.,2023.0
1628991,Jaren Jackson Jr.,2018.0
1631218,Trayce Jackson-Davis,2023.0
1642355,Bronny James,2024.0
2544,LeBron James,2003.0
1631170,Jaime Jaquez Jr.,2023.0
1629610,DaQuan Jeffries,
1641998,Trey Jemison III,
1642450,Daniss Jenkins,
1629660,Ty Jerome,2019.0
1630198,Isaiah Joe,2020.0
1642358,AJ Johnson,2024.0
1629661,Cameron Johnson,2019.0
1630552,Jalen Johnson,2021.0
201949,James Johnson,2009.0
1629640,Keldon Johnson,2019.0
1630553,Keon Johnson,2021.0
1642352,Keshad Johnson,
203999,Nikola Jokić,2014.0
1641732,Colby Jones,2023.0
1641794,Dillon Jones,2024.0
1630529,Herbert Jones,2021.0
1642403,Isaac Jones,
1630539,Kai Jones,2021.0
1630222,Mason Jones,
1642461,Spencer Jones,
1630200,Tre Jones,2020.0
1626145,Tyus Jones,2015.0
1627884,Derrick Jones Jr.,
201599,DeAndre Jordan,2008.0
202709,Cory Joseph,2011.0
1631107,Nikola Jović,2022.0
1630548,Johnny Juzang,
1642530,Yuki Kawamura,
1630283,Kylor Kelley,
1628379,Luke Kennard,2017.0
1631117,Walker Kessler,2022.0
1630296,Braxton Key,
1630557,Corey Kispert,2021.0
1628467,Maxi Kleber,
1641752,Bobi Klintman,2024.0
1642261,Dalton Knecht,2024.0
1628995,Kevin Knox II,2018.0
1642278,Tyler Kolek,2024.0
1631132,Christian Koloko,2022.0
1629723,John Konchar,
1628436,Luke Kornet,
1630249,Vít Krejčí,2020.0
1630228,Jonathan Kuminga,2021.0
1628398,Kyle Kuzma,2017.0
1631222,Jake LaRavia,2022.0
203897,Zach LaVine,2014.0
1627746,Skal Labissiere,2016.0
1629111,Jock Landale,
1641796,Pelle Larsson,2024.0
1630639,A.J. Lawson,
1627747,Caris LeVert,2016.0
1627814,Damion Lee,
203458,Alex Len,2013.0
202695,Kawhi Leonard,2011.0
1642502,Malevy Leons,
1641721,Maxwell Lewis,2023.0
1630604,E.J. Liddell,2022.0
203081,Damian Lillard,2012.0
1641726,Dereck Lively II,2023.0
1641753,Chris Livingston,2023.0
1626172,Kevon Looney,2015.0
201572,Brook Lopez,2008.0
201567,Kevin Love,2008.0
200768,Kyle Lowry,2006.0
1641754,Seth Lundy,2023.0
1626168,Trey Lyles,2015.0
1630572,Sandro Mamukelashvili,2021.0
1629611,Terance Mann,2019.0
1630544,Tre Mann,2021.0
1628374,Lauri Markkanen,2017.0
1630230,Naji Marshall,
1628997,Caleb Martin,
1628998,Cody Martin,2019.0
1641798,Jaylen Martin,
1630231,KJ Martin,2020.0
1631213,Tyrese Martin,2022.0
1629726,Garrison Mathews,
1631097,Bennedict Mathurin,2022.0
1631255,Karlo Matković,2022.0
1630178,Tyrese Maxey,2020.0
1630540,Miles McBride,2021.0
1642272,Jared McCain,2024.0
1630644,Mac McClung,
203468,CJ McCollum,2013.0
204456,T.J. McConnell,2015.0
1641755,Kevin McCullar Jr.,2024.0
1630183,Jaden McDaniels,2020.0
1629667,Jalen McDaniels,2019.0
203926,Doug McDermott,2014.0
1631121,Bryce McGowens,2022.0
1629162,Jordan McLaughlin,
1629098,Jack McVeigh,
1629001,De'Anthony Melton,2018.0
1630241,Sam Merrill,2020.0
203995,Vasilije Micic,2014.0
203114,Khris Middleton,2012.0
1641706,Brandon Miller,2023.0
1641801,Emanuel Miller,
1641757,Jordan Miller,2023.0
1631159,Leonard Miller,2023.0
201988,Patty Mills,2009.0
1629003,Shake Milton,2018.0
1631303,Justin Minaya,
1642434,Riley Minix,
1631169,Josh Minott,2022.0
1642274,Yves Missi,2024.0
1642349,Ajay Mitchell,2024.0
1630558,Davion Mitchell,2021.0
1628378,Donovan Mitchell,2017.0
1630596,Evan Mobley,2021.0
1630600,Isaiah Mobley,2022.0
1642367,Jonathan Mogbo,2024.0
1628370,Malik Monk,2017.0
1630541,Moses Moody,2021.0
1631386,Taze Moore,
1631111,Wendell Moore Jr.,2022.0
1629630,Ja Morant,2019.0
202693,Markieff Morris,2011.0
1628420,Monté Morris,2017.0
1630530,Trey Murphy III,2021.0
1627749,Dejounte Murray,2016.0
1627750,Jamal Murray,2016.0
1631099,Keegan Murray,2022.0
1631200,Kris Murray,2023.0
1629004,Svi Mykhailiuk,2018.0
1631250,Pete Nance,
1626204,Larry Nance Jr.,2015.0
1629614,Andrew Nembhard,2022.0
1630174,Aaron Nesmith,2020.0
1641803,Tristen Newton,2024.0
1627777,Georges Niang,2016.0
1630227,Daishen Nix,
1630192,Zeke Nnaji,2020.0
1641936,Miles Norris,
1629669,Jaylen Nowell,2019.0
203994,Jusuf Nurkić,2014.0
1626220,Royce O'Neale,
1626143,Jahlil Okafor,2015.0
1629643,Chuma Okeke,2019.0
1629006,Josh Okogie,2018.0
1630168,Onyeka Okongwu,2020.0
1630171,Isaac Okoro,2020.0
1642439,Quincy Olivari,
203482,Kelly Olynyk,2013.0
1626162,Kelly Oubre Jr.,2015.0
101108,Chris Paul,2005.0
